시점,출생아수(명),혼인건수(건)
1970,1006645,295137
1971,1024773,239457
1972,952780,244780
1973,965521,259112
1974,922823,259604
1975,874030,283226
1976,796331,285910
1977,825339,303156
1978,750728,343013
1979,862669,353824
1980,862835,403031
1981,867409,406795
1982,848312,387468
1983,769155,412984
1984,674793,385188
1985,655489,384686
1986,636019,390229
1987,623831,390276
1988,633092,410129
1989,639431,410708
1990,649738,399312
1991,709275,416872
1992,730678,419774
1993,715826,402593
1994,721185,393121
1995,715020,398484
1996,691226,434911
1997,675394,388960
1998,641594,373500
1999,620668,360407
2000,640089,332090
2001,559934,318407
2002,496911,304877
2003,495036,302503
2004,476958,308598
2005,438707,314304
2006,451759,330634
2007,496822,343559
2008,465892,327715
2009,444849,309759
2010,470171,326104
2011,471265,329087
2012,484550,327073
2013,436455,322807
2014,435435,305507
2015,438420,302828
2016,406243,281635
2017,357771,264455
2018,326822,257622
2019,302676,239159
2020,272337,213502
2021,260562,192507
2022,249186,191690
2023,230028,193657
