시점,총인구(명),남자(명),여자(명),인구(명): 0-14세,인구(명): 15-64세,인구(명): 65세 이상,총부양비,유소년부양비,노년부양비,노령화지수,평균연령(세),평균연령(세)-남자,평균연령(세)-여자
1970,32240827,16308607,15932220,13709367,17540152,991308,83.8,78.2,5.7,7.2,23.6,22.8,24.3
1971,32882704,16648884,16233820,13764089,18064092,1054523,82,76.2,5.8,7.7,23.8,23,24.6
1972,33505406,16955438,16549968,13858472,18602276,1044658,80.1,74.5,5.6,7.5,23.8,23,24.6
1973,34103149,17234877,16868272,13849385,19176510,1077254,77.8,72.2,5.6,7.8,23.9,23.1,24.8
1974,34692266,17514223,17178043,13790071,19781685,1120510,75.4,69.7,5.7,8.1,24.1,23.2,25
1975,35280725,17765828,17514897,13614403,20448875,1217447,72.5,66.6,6,8.9,24.5,23.5,25.4
1976,35848523,18058503,17790020,13434830,21151580,1262113,69.5,63.5,6,9.4,24.8,23.8,25.7
1977,36411795,18349416,18062379,13273107,21829330,1309358,66.8,60.8,6,9.9,25.1,24.2,26
1978,36969185,18637254,18331931,13116029,22495994,1357162,64.3,58.3,6,10.3,25.4,24.5,26.3
1979,37534236,18929361,18604875,13005315,23123979,1404942,62.3,56.2,6.1,10.8,25.7,24.8,26.6
1980,38123775,19235736,18888039,12950775,23716967,1456033,60.7,54.6,6.1,11.2,25.9,25,26.8
1981,38723248,19535680,19187568,12925036,24300033,1498179,59.4,53.2,6.2,11.6,26.2,25.3,27.1
1982,39326352,19837392,19488960,12886600,24880337,1559415,58.1,51.8,6.3,12.1,26.5,25.6,27.3
1983,39910403,20129120,19781283,12800968,25494901,1614534,56.5,50.2,6.3,12.6,26.8,25.9,27.7
1984,40405956,20375175,20030781,12591760,26140581,1673615,54.6,48.2,6.4,13.3,27.1,26.2,28
1985,40805744,20575600,20230144,12304542,26759353,1741849,52.5,46,6.5,14.2,27.5,26.6,28.4
1986,41213674,20771997,20441677,12029833,27383105,1800736,50.5,43.9,6.6,15,27.9,27,28.8
1987,41621690,20959980,20661710,11746377,27998885,1876428,48.7,42,6.7,16,28.3,27.4,29.2
1988,42031247,21155226,20876021,11487445,28581942,1961860,47.1,40.2,6.9,17.1,28.7,27.7,29.6
1989,42449038,21357389,21091649,11261131,29134922,2052985,45.7,38.7,7,18.2,29,28.1,30
1990,42869283,21568181,21301102,10973592,29700607,2195084,44.3,36.9,7.4,20,29.5,28.5,30.5
1991,43295704,21783914,21511790,10858720,30170543,2266441,43.5,36,7.5,20.9,29.8,28.8,30.9
1992,43747962,22013655,21734307,10791426,30610680,2345856,42.9,35.3,7.7,21.7,30.2,29.1,31.3
1993,44194628,22242554,21952074,10734528,31023107,2436993,42.5,34.6,7.9,22.7,30.5,29.4,31.6
1994,44641540,22472496,22169044,10653446,31445602,2542492,42,33.9,8.1,23.9,30.8,29.7,32
