시점,고령인구(천명): 65세+,- 구성비(%): 65세+
1994,"2,542",5.7
1995,"2,657",5.9
1996,"2,795",6.1
1997,"2,929",6.4
1998,"3,069",6.6
1999,"3,224",6.9
2000,"3,395",7.2
2001,"3,571",7.5
2002,"3,757",7.9
2003,"3,940",8.2
2004,"4,130",8.6
2005,"4,321",9
2006,"4,526",9.3
2007,"4,761",9.8
2008,"4,989",10.2
2009,"5,177",10.5
2010,"5,366",10.8
2011,"5,515",11
2012,"5,767",11.5
2013,"6,023",11.9
2014,"6,277",12.4
2015,"6,541",12.8
2016,"6,757",13.2
2017,"7,066",13.8
2018,"7,366",14.3
2019,"7,689",14.9
2020,"8,152",15.7
2021,"8,570",16.6
2022,"8,981",17.4
2023,"9,436",18.2
2024,"9,938",19.2
2025,"10,514",20.3
2026,"11,125",21.6
2027,"11,597",22.5
2028,"12,125",23.6
2029,"12,521",24.4
2030,"12,980",25.3
2031,"13,418",26.2
2032,"13,833",27.1
2033,"14,260",27.9
2034,"14,763",29
2035,"15,208",29.9
2036,"15,674",30.9
2037,"16,091",31.8
2038,"16,492",32.7
2039,"16,862",33.6
2040,"17,151",34.3
2041,"17,388",34.9
2042,"17,593",35.5
2043,"17,792",36
2044,"17,987",36.6
2045,"18,235",37.3
2046,"18,469",38.1
2047,"18,689",38.8
2048,"18,839",39.4
2049,"18,907",39.8
2050,"18,908",40.1
2051,"18,899",40.5
2052,"18,861",40.8
2053,"18,802",41
2054,"18,750",41.3
2055,"18,705",41.7
2056,"18,665",42.1
2057,"18,676",42.6
2058,"18,691",43.1
2059,"18,691",43.6
2060,"18,682",44.2
2061,"18,674",44.7
2062,"18,647",45.2
2063,"18,608",45.7
2064,"18,539",46.1
2065,"18,482",46.6
2066,"18,404",47
2067,"18,248",47.2
2068,"18,067",47.3
2069,"17,888",47.5
2070,"17,677",47.5
2071,"17,461",47.6
2072,"17,271",47.7
